Team,Opponent,Team_Score,Opponent_Score
MALAGA,BARCELONA,1.0,4.0
ATLETICO MADRID,MALLORCA,2.0,0.0
VALENCIA,RACING SANTANDER,2.0,4.0
RECREATIVO HUELVA,GETAFE,1.0,1.0
VALLADOLID,SEVILLA,3.0,2.0
ESPANYOL,OSASUNA,1.0,0.0
SPORTING GIJON,NUMANCIA,3.0,1.0
ALMERIA,REAL MADRID,1.0,1.0
BETIS,DEPORTIVO LA CORUNA,0.0,3.0
REAL MADRID,MALAGA,4.0,3.0
BARCELONA,VALLADOLID,6.0,0.0
VILLARREAL,ALMERIA,2.0,1.0
NUMANCIA,BETIS,2.0,4.0
OSASUNA,ATLETICO MADRID,0.0,0.0
MALLORCA,ATHLETIC BILBAO,3.0,3.0
DEPORTIVO LA CORUNA,ESPANYOL,1.0,0.0
RACING SANTANDER,SPORTING GIJON,1.0,0.0
SEVILLA,RECREATIVO HUELVA,1.0,0.0
GETAFE,VALENCIA,0.0,3.0
VALLADOLID,REAL MADRID,1.0,0.0
VALENCIA,SPORTING GIJON,2.0,3.0
BETIS,RACING SANTANDER,3.0,1.0
ESPANYOL,NUMANCIA,3.0,4.0
ATLETICO MADRID,DEPORTIVO LA CORUNA,4.0,1.0
ALMERIA,MALLORCA,2.0,1.0
GETAFE,SEVILLA,0.0,2.0
MALAGA,VILLARREAL,2.0,2.0
ATHLETIC BILBAO,OSASUNA,2.0,0.0
RECREATIVO HUELVA,BARCELONA,0.0,2.0
REAL MADRID,RECREATIVO HUELVA,1.0,0.0
VILLARREAL,VALLADOLID,0.0,3.0
SEVILLA,VALENCIA,0.0,0.0
NUMANCIA,ATLETICO MADRID,1.0,1.0
SPORTING GIJON,BETIS,1.0,2.0
MALLORCA,MALAGA,2.0,2.0
RACING SANTANDER,ESPANYOL,3.0,0.0
OSASUNA,ALMERIA,3.0,1.0
BARCELONA,GETAFE,1.0,1.0
DEPORTIVO LA CORUNA,ATHLETIC BILBAO,3.0,1.0
GETAFE,REAL MADRID,3.0,1.0
SEVILLA,BARCELONA,0.0,3.0
RECREATIVO HUELVA,VILLARREAL,1.0,2.0
VALLADOLID,MALLORCA,3.0,0.0
ALMERIA,DEPORTIVO LA CORUNA,0.0,1.0
ATHLETIC BILBAO,NUMANCIA,2.0,0.0
ESPANYOL,SPORTING GIJON,0.0,1.0
MALAGA,OSASUNA,4.0,2.0
VALENCIA,BETIS,3.0,2.0
ATLETICO MADRID,RACING SANTANDER,4.0,1.0
SPORTING GIJON,ATLETICO MADRID,2.0,5.0
VILLARREAL,GETAFE,3.0,3.0
BARCELONA,VALENCIA,4.0,0.0
NUMANCIA,ALMERIA,2.0,1.0
MALLORCA,RECREATIVO HUELVA,2.0,3.0
OSASUNA,VALLADOLID,3.0,3.0
DEPORTIVO LA CORUNA,MALAGA,2.0,0.0
RACING SANTANDER,ATHLETIC BILBAO,1.0,1.0
BETIS,ESPANYOL,1.0,1.0
REAL MADRID,SEVILLA,3.0,4.0
VALENCIA,ESPANYOL,2.0,1.0
BARCELONA,REAL MADRID,2.0,0.0
ATHLETIC BILBAO,SPORTING GIJON,3.0,0.0
RECREATIVO HUELVA,OSASUNA,1.0,0.0
ALMERIA,RACING SANTANDER,1.0,1.0
GETAFE,MALLORCA,4.0,1.0
MALAGA,NUMANCIA,2.0,0.0
VALLADOLID,DEPORTIVO LA CORUNA,3.0,0.0
SEVILLA,VILLARREAL,1.0,0.0
ATLETICO MADRID,BETIS,2.0,0.0
REAL MADRID,VALENCIA,1.0,0.0
ESPANYOL,ATLETICO MADRID,2.0,3.0
NUMANCIA,VALLADOLID,4.0,3.0
OSASUNA,GETAFE,5.0,2.0
RACING SANTANDER,MALAGA,1.0,1.0
SPORTING GIJON,ALMERIA,1.0,0.0
MALLORCA,SEVILLA,0.0,0.0
DEPORTIVO LA CORUNA,RECREATIVO HUELVA,4.0,1.0
VILLARREAL,BARCELONA,1.0,2.0
BETIS,ATHLETIC BILBAO,0.0,1.0
BARCELONA,MALLORCA,3.0,1.0
VALENCIA,ATLETICO MADRID,3.0,1.0
RECREATIVO HUELVA,NUMANCIA,3.0,1.0
MALAGA,SPORTING GIJON,1.0,0.0
VALLADOLID,RACING SANTANDER,0.0,1.0
ALMERIA,BETIS,1.0,0.0
ATHLETIC BILBAO,ESPANYOL,1.0,1.0
REAL MADRID,VILLARREAL,1.0,0.0
SEVILLA,OSASUNA,1.0,1.0
GETAFE,DEPORTIVO LA CORUNA,1.0,2.0
DEPORTIVO LA CORUNA,SEVILLA,1.0,3.0
VALENCIA,VILLARREAL,3.0,3.0
NUMANCIA,GETAFE,2.0,0.0
SPORTING GIJON,VALLADOLID,2.0,1.0
MALLORCA,REAL MADRID,0.0,3.0
BETIS,MALAGA,1.0,2.0
RACING SANTANDER,RECREATIVO HUELVA,1.0,1.0
ATLETICO MADRID,ATHLETIC BILBAO,2.0,3.0
ESPANYOL,ALMERIA,2.0,2.0
OSASUNA,BARCELONA,2.0,3.0
BARCELONA,DEPORTIVO LA CORUNA,5.0,0.0
SEVILLA,NUMANCIA,1.0,0.0
REAL MADRID,OSASUNA,3.0,1.0
VALLADOLID,BETIS,1.0,3.0
RECREATIVO HUELVA,SPORTING GIJON,2.0,0.0
GETAFE,RACING SANTANDER,0.0,1.0
VILLARREAL,MALLORCA,2.0,0.0
MALAGA,ESPANYOL,4.0,0.0
ATHLETIC BILBAO,VALENCIA,3.0,2.0
ALMERIA,ATLETICO MADRID,1.0,1.0
VILLARREAL,OSASUNA,1.0,1.0
BARCELONA,NUMANCIA,4.0,1.0
MALAGA,ATLETICO MADRID,1.0,1.0
VALLADOLID,ESPANYOL,1.0,1.0
ALMERIA,ATHLETIC BILBAO,2.0,1.0
GETAFE,SPORTING GIJON,5.0,1.0
MALLORCA,VALENCIA,3.0,1.0
RECREATIVO HUELVA,BETIS,1.0,0.0
SEVILLA,RACING SANTANDER,0.0,2.0
REAL MADRID,DEPORTIVO LA CORUNA,1.0,0.0
ATHLETIC BILBAO,MALAGA,3.0,2.0
NUMANCIA,REAL MADRID,0.0,2.0
ATLETICO MADRID,VALLADOLID,1.0,2.0
BETIS,GETAFE,2.0,2.0
DEPORTIVO LA CORUNA,VILLARREAL,3.0,0.0
ESPANYOL,RECREATIVO HUELVA,1.0,1.0
RACING SANTANDER,BARCELONA,1.0,2.0
OSASUNA,MALLORCA,1.0,0.0
VALENCIA,ALMERIA,3.0,2.0
SPORTING GIJON,SEVILLA,1.0,0.0
REAL MADRID,RACING SANTANDER,1.0,0.0
SEVILLA,BETIS,1.0,2.0
RECREATIVO HUELVA,ATLETICO MADRID,0.0,3.0
VALLADOLID,ATHLETIC BILBAO,2.0,1.0
GETAFE,ESPANYOL,1.0,1.0
MALLORCA,DEPORTIVO LA CORUNA,1.0,1.0
VILLARREAL,NUMANCIA,2.0,1.0
MALAGA,ALMERIA,3.0,2.0
BARCELONA,SPORTING GIJON,3.0,1.0
OSASUNA,VALENCIA,1.0,0.0
DEPORTIVO LA CORUNA,OSASUNA,0.0,0.0
BETIS,BARCELONA,2.0,2.0
VALENCIA,MALAGA,1.0,1.0
NUMANCIA,MALLORCA,0.0,1.0
RACING SANTANDER,VILLARREAL,1.0,1.0
SPORTING GIJON,REAL MADRID,0.0,4.0
ATHLETIC BILBAO,RECREATIVO HUELVA,1.0,1.0
ALMERIA,VALLADOLID,3.0,2.0
ESPANYOL,SEVILLA,0.0,2.0
ATLETICO MADRID,GETAFE,1.0,1.0
VILLARREAL,SPORTING GIJON,2.0,1.0
REAL MADRID,BETIS,6.0,1.0
BARCELONA,ESPANYOL,1.0,2.0
SEVILLA,ATLETICO MADRID,1.0,0.0
RECREATIVO HUELVA,ALMERIA,1.0,1.0
OSASUNA,NUMANCIA,2.0,0.0
MALLORCA,RACING SANTANDER,1.0,0.0
VALLADOLID,MALAGA,1.0,3.0
GETAFE,ATHLETIC BILBAO,1.0,1.0
DEPORTIVO LA CORUNA,VALENCIA,1.0,1.0
ATHLETIC BILBAO,SEVILLA,1.0,2.0
ESPANYOL,REAL MADRID,0.0,2.0
ALMERIA,GETAFE,2.0,1.0
NUMANCIA,DEPORTIVO LA CORUNA,0.0,1.0
RACING SANTANDER,OSASUNA,1.0,1.0
SPORTING GIJON,MALLORCA,0.0,1.0
MALAGA,RECREATIVO HUELVA,0.0,2.0
VALENCIA,VALLADOLID,1.0,2.0
ATLETICO MADRID,BARCELONA,4.0,3.0
BETIS,VILLARREAL,2.0,2.0
REAL MADRID,ATLETICO MADRID,1.0,1.0
BARCELONA,ATHLETIC BILBAO,2.0,0.0
VILLARREAL,ESPANYOL,1.0,0.0
RECREATIVO HUELVA,VALLADOLID,2.0,3.0
NUMANCIA,VALENCIA,2.0,1.0
OSASUNA,SPORTING GIJON,1.0,2.0
MALLORCA,BETIS,3.0,3.0
DEPORTIVO LA CORUNA,RACING SANTANDER,5.0,3.0
SEVILLA,ALMERIA,2.0,1.0
GETAFE,MALAGA,1.0,2.0
VALENCIA,RECREATIVO HUELVA,1.0,1.0
ATHLETIC BILBAO,REAL MADRID,2.0,5.0
MALAGA,SEVILLA,2.0,2.0
ESPANYOL,MALLORCA,3.0,3.0
RACING SANTANDER,NUMANCIA,5.0,0.0
SPORTING GIJON,DEPORTIVO LA CORUNA,3.0,2.0
VALLADOLID,GETAFE,1.0,0.0
BETIS,OSASUNA,0.0,0.0
ATLETICO MADRID,VILLARREAL,3.0,2.0
ALMERIA,BARCELONA,0.0,2.0
VILLARREAL,ATHLETIC BILBAO,2.0,0.0
SEVILLA,VALLADOLID,4.0,1.0
GETAFE,RECREATIVO HUELVA,2.0,1.0
DEPORTIVO LA CORUNA,BETIS,1.0,1.0
RACING SANTANDER,VALENCIA,0.0,1.0
REAL MADRID,ALMERIA,3.0,0.0
NUMANCIA,SPORTING GIJON,2.0,1.0
OSASUNA,ESPANYOL,1.0,0.0
BARCELONA,MALAGA,6.0,0.0
MALLORCA,ATLETICO MADRID,2.0,0.0
RECREATIVO HUELVA,SEVILLA,0.0,1.0
ALMERIA,VILLARREAL,3.0,0.0
ATHLETIC BILBAO,MALLORCA,2.0,1.0
BETIS,NUMANCIA,3.0,3.0
VALLADOLID,BARCELONA,0.0,1.0
MALAGA,REAL MADRID,0.0,1.0
ATLETICO MADRID,OSASUNA,2.0,4.0
ESPANYOL,DEPORTIVO LA CORUNA,3.0,1.0
VALENCIA,GETAFE,4.0,1.0
SPORTING GIJON,RACING SANTANDER,0.0,2.0
BARCELONA,RECREATIVO HUELVA,2.0,0.0
VILLARREAL,MALAGA,0.0,2.0
NUMANCIA,ESPANYOL,0.0,0.0
OSASUNA,ATHLETIC BILBAO,2.0,1.0
RACING SANTANDER,BETIS,2.0,3.0
REAL MADRID,VALLADOLID,2.0,0.0
SPORTING GIJON,VALENCIA,2.0,3.0
MALLORCA,ALMERIA,2.0,0.0
SEVILLA,GETAFE,0.0,1.0
DEPORTIVO LA CORUNA,ATLETICO MADRID,1.0,2.0
MALAGA,MALLORCA,1.0,1.0
ATHLETIC BILBAO,DEPORTIVO LA CORUNA,0.0,1.0
ATLETICO MADRID,NUMANCIA,3.0,0.0
GETAFE,BARCELONA,0.0,1.0
RECREATIVO HUELVA,REAL MADRID,0.0,1.0
ESPANYOL,RACING SANTANDER,1.0,0.0
VALLADOLID,VILLARREAL,0.0,0.0
ALMERIA,OSASUNA,2.0,1.0
VALENCIA,SEVILLA,3.0,1.0
BETIS,SPORTING GIJON,2.0,0.0
NUMANCIA,ATHLETIC BILBAO,1.0,2.0
REAL MADRID,GETAFE,3.0,2.0
BETIS,VALENCIA,1.0,2.0
DEPORTIVO LA CORUNA,ALMERIA,2.0,0.0
OSASUNA,MALAGA,2.0,3.0
BARCELONA,SEVILLA,4.0,0.0
VILLARREAL,RECREATIVO HUELVA,2.0,1.0
SPORTING GIJON,ESPANYOL,0.0,3.0
RACING SANTANDER,ATLETICO MADRID,5.0,1.0
MALLORCA,VALLADOLID,2.0,0.0
MALAGA,DEPORTIVO LA CORUNA,1.0,1.0
ALMERIA,NUMANCIA,2.0,1.0
VALENCIA,BARCELONA,2.0,2.0
RECREATIVO HUELVA,MALLORCA,2.0,4.0
VALLADOLID,OSASUNA,0.0,0.0
GETAFE,VILLARREAL,1.0,2.0
ATHLETIC BILBAO,RACING SANTANDER,2.0,1.0
ESPANYOL,BETIS,2.0,0.0
SEVILLA,REAL MADRID,2.0,4.0
ATLETICO MADRID,SPORTING GIJON,3.0,1.0
REAL MADRID,BARCELONA,2.0,6.0
VILLARREAL,SEVILLA,0.0,2.0
NUMANCIA,MALAGA,2.0,0.0
SPORTING GIJON,ATHLETIC BILBAO,1.0,1.0
MALLORCA,GETAFE,2.0,1.0
OSASUNA,RECREATIVO HUELVA,1.0,2.0
DEPORTIVO LA CORUNA,VALLADOLID,1.0,0.0
RACING SANTANDER,ALMERIA,0.0,2.0
ESPANYOL,VALENCIA,3.0,0.0
BETIS,ATLETICO MADRID,0.0,2.0
SEVILLA,MALLORCA,3.0,1.0
ATHLETIC BILBAO,BETIS,1.0,0.0
VALENCIA,REAL MADRID,3.0,0.0
RECREATIVO HUELVA,DEPORTIVO LA CORUNA,1.0,2.0
MALAGA,RACING SANTANDER,1.0,0.0
ALMERIA,SPORTING GIJON,3.0,1.0
GETAFE,OSASUNA,3.0,0.0
VALLADOLID,NUMANCIA,0.0,0.0
BARCELONA,VILLARREAL,3.0,3.0
ATLETICO MADRID,ESPANYOL,3.0,2.0
DEPORTIVO LA CORUNA,GETAFE,1.0,1.0
OSASUNA,SEVILLA,0.0,0.0
VILLARREAL,REAL MADRID,3.0,2.0
BETIS,ALMERIA,2.0,0.0
NUMANCIA,RECREATIVO HUELVA,1.0,0.0
ESPANYOL,ATHLETIC BILBAO,1.0,0.0
RACING SANTANDER,VALLADOLID,3.0,2.0
SPORTING GIJON,MALAGA,2.0,1.0
MALLORCA,BARCELONA,2.0,1.0
ATLETICO MADRID,VALENCIA,1.0,0.0
VALLADOLID,SPORTING GIJON,1.0,2.0
ALMERIA,ESPANYOL,0.0,3.0
GETAFE,NUMANCIA,1.0,0.0
VILLARREAL,VALENCIA,3.0,1.0
ATHLETIC BILBAO,ATLETICO MADRID,1.0,4.0
BARCELONA,OSASUNA,0.0,1.0
SEVILLA,DEPORTIVO LA CORUNA,1.0,0.0
MALAGA,BETIS,1.0,1.0
RECREATIVO HUELVA,RACING SANTANDER,0.0,1.0
REAL MADRID,MALLORCA,1.0,3.0
ATLETICO MADRID,ALMERIA,3.0,0.0
VALENCIA,ATHLETIC BILBAO,2.0,0.0
MALLORCA,VILLARREAL,2.0,3.0
DEPORTIVO LA CORUNA,BARCELONA,1.0,1.0
NUMANCIA,SEVILLA,0.0,2.0
ESPANYOL,MALAGA,3.0,0.0
OSASUNA,REAL MADRID,2.0,1.0
BETIS,VALLADOLID,1.0,1.0
RACING SANTANDER,GETAFE,1.0,1.0
SPORTING GIJON,RECREATIVO HUELVA,2.0,1.0
REAL MADRID,DEPORTIVO LA CORUNA,3.0,2.0
ZARAGOZA,TENERIFE,1.0,0.0
MALAGA,ATLETICO MADRID,3.0,0.0
MALLORCA,XEREZ,2.0,0.0
RACING SANTANDER,GETAFE,1.0,4.0
OSASUNA,VILLARREAL,1.0,1.0
ATHLETIC BILBAO,ESPANYOL,1.0,0.0
VALENCIA,SEVILLA,2.0,0.0
ALMERIA,VALLADOLID,0.0,0.0
BARCELONA,SPORTING GIJON,3.0,0.0
ATLETICO MADRID,RACING SANTANDER,1.0,1.0
GETAFE,BARCELONA,0.0,2.0
ESPANYOL,REAL MADRID,0.0,3.0
SEVILLA,ZARAGOZA,4.0,1.0
DEPORTIVO LA CORUNA,MALAGA,1.0,0.0
TENERIFE,OSASUNA,2.0,1.0
VILLARREAL,MALLORCA,1.0,1.0
SPORTING GIJON,ALMERIA,1.0,0.0
VALLADOLID,VALENCIA,2.0,4.0
XEREZ,ATHLETIC BILBAO,0.0,1.0
DEPORTIVO LA CORUNA,ESPANYOL,2.0,3.0
MALLORCA,TENERIFE,4.0,0.0
OSASUNA,SEVILLA,0.0,2.0
MALAGA,RACING SANTANDER,1.0,2.0
BARCELONA,ATLETICO MADRID,5.0,2.0
ATHLETIC BILBAO,VILLARREAL,3.0,2.0
ZARAGOZA,VALLADOLID,1.0,2.0
ALMERIA,GETAFE,1.0,0.0
REAL MADRID,XEREZ,5.0,0.0
VALENCIA,SPORTING GIJON,2.0,2.0
SEVILLA,MALLORCA,2.0,0.0
RACING SANTANDER,BARCELONA,1.0,4.0
ESPANYOL,MALAGA,2.0,1.0
VILLARREAL,REAL MADRID,0.0,2.0
XEREZ,DEPORTIVO LA CORUNA,0.0,3.0
VALLADOLID,OSASUNA,1.0,2.0
ATLETICO MADRID,ALMERIA,2.0,2.0
TENERIFE,ATHLETIC BILBAO,1.0,0.0
GETAFE,VALENCIA,3.0,1.0
SPORTING GIJON,ZARAGOZA,1.0,1.0
ATHLETIC BILBAO,SEVILLA,0.0,4.0
REAL MADRID,TENERIFE,3.0,0.0
MALAGA,BARCELONA,0.0,2.0
VALENCIA,ATLETICO MADRID,2.0,2.0
ESPANYOL,XEREZ,0.0,0.0
OSASUNA,SPORTING GIJON,1.0,0.0
MALLORCA,VALLADOLID,3.0,0.0
ALMERIA,RACING SANTANDER,2.0,2.0
ZARAGOZA,GETAFE,3.0,0.0
DEPORTIVO LA CORUNA,VILLARREAL,1.0,0.0
TENERIFE,DEPORTIVO LA CORUNA,0.0,1.0
BARCELONA,ALMERIA,1.0,0.0
ATLETICO MADRID,ZARAGOZA,2.0,1.0
XEREZ,MALAGA,1.0,1.0
VILLARREAL,ESPANYOL,0.0,0.0
VALLADOLID,ATHLETIC BILBAO,2.0,2.0
GETAFE,OSASUNA,2.0,1.0
SPORTING GIJON,MALLORCA,4.0,1.0
RACING SANTANDER,VALENCIA,0.0,1.0
SEVILLA,REAL MADRID,2.0,1.0
DEPORTIVO LA CORUNA,SEVILLA,1.0,0.0
REAL MADRID,VALLADOLID,4.0,2.0
VALENCIA,BARCELONA,0.0,0.0
MALAGA,ALMERIA,1.0,2.0
ESPANYOL,TENERIFE,2.0,1.0
XEREZ,VILLARREAL,2.0,1.0
MALLORCA,GETAFE,3.0,1.0
ZARAGOZA,RACING SANTANDER,2.0,2.0
ATHLETIC BILBAO,SPORTING GIJON,1.0,2.0
OSASUNA,ATLETICO MADRID,3.0,0.0
ATLETICO MADRID,MALLORCA,1.0,1.0
SPORTING GIJON,REAL MADRID,0.0,0.0
SEVILLA,ESPANYOL,0.0,0.0
VALLADOLID,DEPORTIVO LA CORUNA,4.0,0.0
GETAFE,ATHLETIC BILBAO,2.0,0.0
RACING SANTANDER,OSASUNA,1.0,1.0
VILLARREAL,MALAGA,2.0,1.0
TENERIFE,XEREZ,1.0,0.0
ALMERIA,VALENCIA,0.0,3.0
BARCELONA,ZARAGOZA,6.0,1.0
REAL MADRID,GETAFE,2.0,0.0
XEREZ,SEVILLA,0.0,2.0
OSASUNA,BARCELONA,1.0,1.0
ATHLETIC BILBAO,ATLETICO MADRID,1.0,0.0
ZARAGOZA,ALMERIA,2.0,1.0
VILLARREAL,TENERIFE,5.0,0.0
ESPANYOL,VALLADOLID,1.0,1.0
MALLORCA,RACING SANTANDER,1.0,0.0
MALAGA,VALENCIA,0.0,1.0
DEPORTIVO LA CORUNA,SPORTING GIJON,1.0,1.0
TENERIFE,MALAGA,2.0,2.0
GETAFE,DEPORTIVO LA CORUNA,0.0,2.0
BARCELONA,MALLORCA,4.0,2.0
ATLETICO MADRID,REAL MADRID,2.0,3.0
ALMERIA,OSASUNA,2.0,0.0
VALLADOLID,XEREZ,0.0,0.0
SPORTING GIJON,ESPANYOL,1.0,0.0
RACING SANTANDER,ATHLETIC BILBAO,0.0,2.0
VALENCIA,ZARAGOZA,3.0,1.0
SEVILLA,VILLARREAL,3.0,2.0
TENERIFE,SEVILLA,1.0,2.0
DEPORTIVO LA CORUNA,ATLETICO MADRID,2.0,1.0
REAL MADRID,RACING SANTANDER,1.0,0.0
ATHLETIC BILBAO,BARCELONA,1.0,1.0
XEREZ,SPORTING GIJON,0.0,0.0
VILLARREAL,VALLADOLID,3.0,1.0
ESPANYOL,GETAFE,0.0,2.0
MALLORCA,ALMERIA,3.0,1.0
MALAGA,ZARAGOZA,1.0,1.0
OSASUNA,VALENCIA,1.0,3.0
SPORTING GIJON,VILLARREAL,1.0,0.0
VALENCIA,MALLORCA,1.0,1.0
SEVILLA,MALAGA,2.0,2.0
VALLADOLID,TENERIFE,3.0,3.0
GETAFE,XEREZ,5.0,1.0
RACING SANTANDER,DEPORTIVO LA CORUNA,0.0,1.0
ALMERIA,ATHLETIC BILBAO,1.0,4.0
ZARAGOZA,OSASUNA,0.0,1.0
BARCELONA,REAL MADRID,1.0,0.0
ATLETICO MADRID,ESPANYOL,4.0,0.0
XEREZ,BARCELONA,0.0,2.0
SEVILLA,VALLADOLID,1.0,1.0
XEREZ,ATLETICO MADRID,0.0,2.0
REAL MADRID,ALMERIA,4.0,2.0
DEPORTIVO LA CORUNA,BARCELONA,1.0,3.0
TENERIFE,SPORTING GIJON,2.0,1.0
ESPANYOL,RACING SANTANDER,0.0,4.0
MALLORCA,ZARAGOZA,4.0,1.0
MALAGA,OSASUNA,1.0,1.0
VILLARREAL,GETAFE,3.0,2.0
ATHLETIC BILBAO,VALENCIA,1.0,2.0
ZARAGOZA,ATHLETIC BILBAO,1.0,2.0
BARCELONA,ESPANYOL,1.0,0.0
VALENCIA,REAL MADRID,2.0,3.0
VALLADOLID,MALAGA,1.0,1.0
GETAFE,TENERIFE,2.0,1.0
RACING SANTANDER,XEREZ,3.0,2.0
ALMERIA,DEPORTIVO LA CORUNA,1.0,1.0
OSASUNA,MALLORCA,0.0,1.0
ATLETICO MADRID,VILLARREAL,1.0,2.0
SPORTING GIJON,SEVILLA,0.0,1.0
ATHLETIC BILBAO,OSASUNA,2.0,0.0
SEVILLA,GETAFE,1.0,2.0
REAL MADRID,ZARAGOZA,6.0,0.0
VALLADOLID,SPORTING GIJON,2.0,1.0
VILLARREAL,RACING SANTANDER,2.0,0.0
ESPANYOL,ALMERIA,2.0,0.0
MALAGA,MALLORCA,2.0,1.0
TENERIFE,ATLETICO MADRID,1.0,1.0
DEPORTIVO LA CORUNA,VALENCIA,0.0,0.0
VALENCIA,ESPANYOL,1.0,0.0
BARCELONA,VILLARREAL,1.0,1.0
ATLETICO MADRID,SEVILLA,2.0,1.0
GETAFE,VALLADOLID,1.0,0.0
SPORTING GIJON,MALAGA,2.0,2.0
RACING SANTANDER,TENERIFE,2.0,0.0
ALMERIA,XEREZ,1.0,0.0
ZARAGOZA,DEPORTIVO LA CORUNA,0.0,0.0
MALLORCA,ATHLETIC BILBAO,2.0,0.0
OSASUNA,REAL MADRID,0.0,0.0
VALLADOLID,ATLETICO MADRID,0.0,4.0
SEVILLA,RACING SANTANDER,1.0,2.0
VILLARREAL,ALMERIA,1.0,1.0
SPORTING GIJON,GETAFE,1.0,0.0
ESPANYOL,ZARAGOZA,2.0,1.0
XEREZ,VALENCIA,1.0,3.0
DEPORTIVO LA CORUNA,OSASUNA,1.0,0.0
MALAGA,ATHLETIC BILBAO,1.0,1.0
REAL MADRID,MALLORCA,2.0,0.0
TENERIFE,BARCELONA,0.0,5.0
OSASUNA,ESPANYOL,2.0,0.0
ATHLETIC BILBAO,REAL MADRID,1.0,0.0
BARCELONA,SEVILLA,4.0,0.0
MALAGA,GETAFE,1.0,0.0
ALMERIA,TENERIFE,1.0,1.0
RACING SANTANDER,VALLADOLID,1.0,1.0
MALLORCA,DEPORTIVO LA CORUNA,2.0,0.0
ZARAGOZA,XEREZ,0.0,0.0
ATLETICO MADRID,SPORTING GIJON,3.0,2.0
VALENCIA,VILLARREAL,4.0,1.0
SEVILLA,ALMERIA,1.0,0.0
VALLADOLID,BARCELONA,0.0,3.0
DEPORTIVO LA CORUNA,ATHLETIC BILBAO,3.0,1.0
SPORTING GIJON,RACING SANTANDER,0.0,1.0
VILLARREAL,ZARAGOZA,4.0,2.0
XEREZ,OSASUNA,1.0,2.0
TENERIFE,VALENCIA,0.0,0.0
ESPANYOL,MALLORCA,1.0,1.0
GETAFE,ATLETICO MADRID,1.0,0.0
REAL MADRID,MALAGA,2.0,0.0
ESPANYOL,ATHLETIC BILBAO,1.0,0.0
SPORTING GIJON,BARCELONA,0.0,1.0
DEPORTIVO LA CORUNA,REAL MADRID,1.0,3.0
GETAFE,RACING SANTANDER,0.0,0.0
VILLARREAL,OSASUNA,0.0,2.0
XEREZ,MALLORCA,2.0,1.0
VALLADOLID,ALMERIA,1.0,1.0
TENERIFE,ZARAGOZA,1.0,3.0
ATLETICO MADRID,MALAGA,0.0,2.0
SEVILLA,VALENCIA,2.0,1.0
VALENCIA,VALLADOLID,2.0,0.0
BARCELONA,GETAFE,2.0,1.0
REAL MADRID,ESPANYOL,3.0,0.0
ATHLETIC BILBAO,XEREZ,3.0,2.0
MALLORCA,VILLARREAL,1.0,0.0
OSASUNA,TENERIFE,1.0,0.0
MALAGA,DEPORTIVO LA CORUNA,0.0,0.0
ALMERIA,SPORTING GIJON,3.0,1.0
ZARAGOZA,SEVILLA,2.0,1.0
RACING SANTANDER,ATLETICO MADRID,1.0,1.0
SPORTING GIJON,VALENCIA,1.0,1.0
XEREZ,REAL MADRID,0.0,3.0
VILLARREAL,ATHLETIC BILBAO,2.0,1.0
ESPANYOL,DEPORTIVO LA CORUNA,2.0,0.0
VALLADOLID,ZARAGOZA,1.0,1.0
GETAFE,ALMERIA,2.0,2.0
RACING SANTANDER,MALAGA,0.0,3.0
SEVILLA,OSASUNA,1.0,0.0
ATLETICO MADRID,BARCELONA,2.0,1.0
TENERIFE,MALLORCA,1.0,0.0
DEPORTIVO LA CORUNA,XEREZ,2.0,1.0
BARCELONA,RACING SANTANDER,4.0,0.0
MALLORCA,SEVILLA,1.0,3.0
MALAGA,ESPANYOL,2.0,1.0
OSASUNA,VALLADOLID,1.0,1.0
ZARAGOZA,SPORTING GIJON,1.0,3.0
ATHLETIC BILBAO,TENERIFE,4.0,1.0
ALMERIA,ATLETICO MADRID,1.0,0.0
REAL MADRID,VILLARREAL,6.0,2.0
VALENCIA,GETAFE,2.0,1.0
GETAFE,ZARAGOZA,0.0,2.0
TENERIFE,REAL MADRID,1.0,5.0
BARCELONA,MALAGA,2.0,1.0
RACING SANTANDER,ALMERIA,0.0,2.0
XEREZ,ESPANYOL,1.0,1.0
VILLARREAL,DEPORTIVO LA CORUNA,1.0,0.0
VALLADOLID,MALLORCA,1.0,2.0
SPORTING GIJON,OSASUNA,3.0,2.0
SEVILLA,ATHLETIC BILBAO,0.0,0.0
ATLETICO MADRID,VALENCIA,4.0,1.0
DEPORTIVO LA CORUNA,TENERIFE,3.0,1.0
ALMERIA,BARCELONA,2.0,2.0
REAL MADRID,SEVILLA,3.0,2.0
ESPANYOL,VILLARREAL,0.0,0.0
MALLORCA,SPORTING GIJON,3.0,0.0
OSASUNA,GETAFE,0.0,0.0
MALAGA,XEREZ,2.0,4.0
ATHLETIC BILBAO,VALLADOLID,2.0,0.0
ZARAGOZA,ATLETICO MADRID,1.0,1.0
VALENCIA,RACING SANTANDER,0.0,0.0
GETAFE,MALLORCA,3.0,0.0
SPORTING GIJON,ATHLETIC BILBAO,0.0,0.0
SEVILLA,DEPORTIVO LA CORUNA,1.0,1.0
RACING SANTANDER,ZARAGOZA,0.0,0.0
VILLARREAL,XEREZ,2.0,0.0
TENERIFE,ESPANYOL,4.0,1.0
ALMERIA,MALAGA,1.0,0.0
BARCELONA,VALENCIA,3.0,0.0
VALLADOLID,REAL MADRID,1.0,4.0
